"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;314;1;"https://it.wikipedia.org/wiki/Fusione_di_comuni_italiani";"https://";"";"it.wikipedia.org";"wiki/Fusione_di_comuni_italiani";"";56;
2;315;1;"https://it.wikipedia.org/wiki/Mirabello_(Terre_del_Reno)";"https://";"";"it.wikipedia.org";"wiki/Mirabello_(Terre_del_Reno)";"";56;
2;316;1;"https://www.diritto.it/unione-e-fusione-dei-comuni-nella-legislazione-italiana";"https://";"www";"diritto.it";"unione-e-fusione-dei-comuni-nella-legislazione-italiana";"";78;
2;317;1;"https://it.wikipedia.org/wiki/Sorbolo_Mezzani";"https://";"";"it.wikipedia.org";"wiki/Sorbolo_Mezzani";"";45;
2;318;1;"https://www.istat.it/storage/codici-unita-amministrative/Novita-2022-2017.pdf";"https://";"www";"istat.it";"storage/codici-unita-amministrative/Novita-2022-2017.pdf";"";77;
2;319;1;"tinyurl.com/2acwtuu6";"https://";"";"tinyurl.com";"2acwtuu6";"";20;
2;320;1;"www.corvara.eu";"";"www";"corvara.eu";"";"";14;
2;321;1;"https://books.google.it/books?id=ImFTwbKloxAC";"https://";"";"books.google.it";"books?id=ImFTwbKloxAC";"";45;
2;322;1;"http://badigit.comune.bologna.it/mappe/130/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/130/library.html";"";55;
2;323;1;"http://badigit.comune.bologna.it/mappe/174/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/174/library.html";"";55;
2;324;1;"http://badigit.comune.bologna.it/mappe/176/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/176/library.html";"";55;
2;325;1;"https://it.wikipedia.org/wiki/Famiglie_senatorie_bolognesi";"https://";"";"it.wikipedia.org";"wiki/Famiglie_senatorie_bolognesi";"";58;
2;326;1;"https://www.originebologna.com/odonomastica-storica/fonti-usate/";"https://";"www";"originebologna.com";"odonomastica-storica/fonti-usate/";"";64;
2;327;1;"http://www.archiginnasio.it/scaffalionline.htm";"http://";"www";"archiginnasio.it";"scaffalionline.htm";"";46;
2;328;1;"https://www.originebologna.com/libri/";"https://";"www";"originebologna.com";"libri/";"";37;
2;329;1;"tinyurl.com/2p8pkhpe";"https://";"";"tinyurl.com";"2p8pkhpe";"";20;
2;330;1;"tinyurl.com/mun5j4u6";"https://";"";"tinyurl.com";"mun5j4u6";"";20;
2;331;1;"tinyurl.com/cnufsz6h";"https://";"";"tinyurl.com";"cnufsz6h";"";20;
2;332;1;"https://www.treccani.it/enciclopedia/borgo-panigale";"https://";"www";"treccani.it";"enciclopedia/borgo-panigale";"";51;
2;333;1;"http://www.comune.bologna.it/storiaamministrativa/stories/detail/40258";"http://";"www";"comune.bologna.it";"storiaamministrativa/stories/detail/40258";"";70;
2;334;1;"http://badigit.comune.bologna.it/mappe/180/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/180/library.html";"";55;
2;335;1;"http://badigit.comune.bologna.it/mappe/275/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/275/library.html";"";55;
2;336;1;"http://badigit.comune.bologna.it/books/viedibologna/scorri_big.asp?Id=742";"http://";"";"badigit.comune.bologna.it";"books/viedibologna/scorri_big.asp?Id=742";"";73;
2;337;1;"http://badigit.comune.bologna.it/mappe/195/library.html";"http://";"";"badigit.comune.bologna.it";"mappe/195/library.html";"";55;
